Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
mens-premium-graphic-t-shirt,Premium Graphic T-Shirt,"Elevate your street aesthetic with the Urban Vogue Premium Graphic T-Shirt. Made from 280 GSM heavyweight combed cotton, it offers a thick structured fit, dropped shoulders, and a bold screen-printed graphic on the chest. Designed to stay boxy and soft wash after wash.",Urban Vogue,T-Shirt,"Men, T-Shirt, Premium, New Arrivals, Best Sellers",true,Size,XS,Color,Charcoal Black,UV-M-PREMIUM-GRAPHIC-T-SHIRT-CHA-XS,300,shopify,50,deny,manual,1499,2199,true,true,assets/mens_graphic_tee.png,1,Premium Graphic T-Shirt,active
mens-premium-graphic-t-shirt,,,,,,,,S,,Charcoal Black,UV-M-PREMIUM-GRAPHIC-T-SHIRT-CHA-S,300,shopify,50,deny,manual,1499,2199,true,true,,,,
mens-premium-graphic-t-shirt,,,,,,,,M,,Charcoal Black,UV-M-PREMIUM-GRAPHIC-T-SHIRT-CHA-M,300,shopify,50,deny,manual,1499,2199,true,true,,,,
mens-premium-graphic-t-shirt,,,,,,,,L,,Charcoal Black,UV-M-PREMIUM-GRAPHIC-T-SHIRT-CHA-L,300,shopify,50,deny,manual,1499,2199,true,true,,,,
mens-premium-graphic-t-shirt,,,,,,,,XL,,Charcoal Black,UV-M-PREMIUM-GRAPHIC-T-SHIRT-CHA-XL,300,shopify,50,deny,manual,1499,2199,true,true,,,,
mens-premium-graphic-t-shirt,,,,,,,,XXL,,Charcoal Black,UV-M-PREMIUM-GRAPHIC-T-SHIRT-CHA-XXL,300,shopify,50,deny,manual,1499,2199,true,true,,,,
mens-premium-graphic-t-shirt,,,,,,,,XS,,Off-White,UV-M-PREMIUM-GRAPHIC-T-SHIRT-OFF-XS,300,shopify,50,deny,manual,1499,2199,true,true,,,,
mens-premium-graphic-t-shirt,,,,,,,,S,,Off-White,UV-M-PREMIUM-GRAPHIC-T-SHIRT-OFF-S,300,shopify,50,deny,manual,1499,2199,true,true,,,,
mens-premium-graphic-t-shirt,,,,,,,,M,,Off-White,UV-M-PREMIUM-GRAPHIC-T-SHIRT-OFF-M,300,shopify,50,deny,manual,1499,2199,true,true,,,,
mens-premium-graphic-t-shirt,,,,,,,,L,,Off-White,UV-M-PREMIUM-GRAPHIC-T-SHIRT-OFF-L,300,shopify,50,deny,manual,1499,2199,true,true,,,,
mens-premium-graphic-t-shirt,,,,,,,,XL,,Off-White,UV-M-PREMIUM-GRAPHIC-T-SHIRT-OFF-XL,300,shopify,50,deny,manual,1499,2199,true,true,,,,
mens-premium-graphic-t-shirt,,,,,,,,XXL,,Off-White,UV-M-PREMIUM-GRAPHIC-T-SHIRT-OFF-XXL,300,shopify,50,deny,manual,1499,2199,true,true,,,,
mens-premium-graphic-t-shirt,,,,,,,,XS,,Sage Green,UV-M-PREMIUM-GRAPHIC-T-SHIRT-SAG-XS,300,shopify,50,deny,manual,1499,2199,true,true,,,,
mens-premium-graphic-t-shirt,,,,,,,,S,,Sage Green,UV-M-PREMIUM-GRAPHIC-T-SHIRT-SAG-S,300,shopify,50,deny,manual,1499,2199,true,true,,,,
